text,language,sentiment
Absolutely loved this place! The pasta carbonara was creamy and perfectly seasoned. Service was a bit slow but the food made up for it. Will definitely come back.,en,positive
"Warung ini enak banget! Sate ayamnya empuk dan bumbunya meresap sempurna. Harga terjangkau, porsi besar. Recommended!",id,positive
The sushi was fresh and the presentation was beautiful. A little pricey but worth it for special occasions.,en,positive
"Makanannya biasa aja sih, tidak terlalu istimewa. Tempatnya lumayan bersih tapi pelayanannya lama banget.",id,neutral
Terrible experience. The steak was overcooked and tough. Manager was rude when we complained. Never again!,en,negative
"Nasi gorengnya enak, tapi kemarin sempet nunggu 45 menit. Agak kecewa sama kecepatannya.",id,negative
Great ambiance and friendly staff. The burgers are huge and delicious. Best fries in town!,en,positive
"Sop buatannya segar, isinya banyak sayur dan dagingnya empuk. Cocok buat makan siang.",id,positive
"Food was okay, nothing special. The portions were reasonable for the price.",en,neutral
"Pelayanannya ramah tapi nasinya keras, kayaknya udah lama. Sayurnya segar sih.",id,neutral
Amazing Thai food! The green curry had the perfect balance of spice and coconut. Highly recommend!,en,positive
Bakso merconnya pedas banget! Kuahnya gurih dan mie-nya kenyal. Puas banget makan disini.,id,positive
The pizza dough was undercooked and soggy. Very disappointing for the price we paid.,en,negative
Tempatnya kotor dan bau. Makanannya juga hambar. Ga balik lagi kesini.,id,negative
Decent Mexican food. The tacos were good but the guacamole tasted off. Service was friendly though.,en,neutral
Ayam gorengnya crispy diluar empuk didalam. Sambelnya mantap! Harga juga masuk akal.,id,positive
Best brunch spot! The eggs benedict was perfect and the coffee was excellent. A bit crowded on weekends.,en,positive
"Gado-gadonya enak, bumbunya kental dan kacangnya banyak. Tempe gorengnya juga crispy.",id,positive
Cold food and poor service. Waited 30 minutes just to get our order taken. Not worth it.,en,negative
Mie ayamnya lumayan enak tapi pangsitnya dikit banget. Harganya standar lah.,id,neutral
The ramen was authentic and flavorful. Broth was rich and noodles had perfect texture. Will return!,en,positive
"Pecel lelenya fresh, sambalnya pedes mantap. Tapi tempatnya agak sempit kalau rame.",id,positive
Overpriced for what you get. The portions were tiny and taste was mediocre at best.,en,negative
Pelayanannya lama banget padahal lagi sepi. Rasanya sih enak tapi jadi males nunggu.,id,negative
Nice atmosphere and good food. The salmon was cooked perfectly. A bit noisy but overall great experience.,en,positive
"Soto ayamnya kurang bumbu, kuahnya encer banget. Kekenyalan mie juga kurang.",id,negative
Average diner food. Nothing spectacular but fills you up. Prices are fair.,en,neutral
Rendangnya empuk dan bumbunya meresap. Gulai ikannya juga enak banget. Nagih!,id,positive
Fantastic Indian cuisine! The butter chicken was creamy and the naan was fresh from the tandoor.,en,positive
Nasgor seafoodnya enak tapi porsinya kecil banget buat harganya. Agak kemahalan.,id,neutral
The waitress was incredibly rude. Food took forever and when it came it was lukewarm. Awful.,en,negative
"Tempatnya bersih dan nyaman. Makanannya enak, harga terjangkau. Pasti balik lagi!",id,positive
Great Korean BBQ experience. Meat quality was excellent and banchan was fresh. Service attentive.,en,positive
Nasi uduknya pulen dan teri kacangnya gurih. Sambal kecombrangnya juara. Murah meriah!,id,positive
"The pasta was bland and overcooked. For an Italian place, very disappointing.",en,negative
"Biasa aja sih, ga spesial. Harganya lumayan mahal buat rasa segitu.",id,neutral
Loved the Vietnamese pho! Broth was aromatic and beef was tender. Portions generous.,en,positive
Sate padangnya enak banget! Bumbunya kental dan dagingnya empuk. Must try!,id,positive
Food was okay but the place was filthy. Tables weren't cleaned properly. Won't be back.,en,negative
"Lontong sayurnya enak, kuahnya gurih. Tapi kerupuknya udah melempem.",id,neutral
"Best pizza in the city! Thin crust, quality toppings, perfect char. Can't recommend enough.",en,positive
Es campur disini segar banget! Buahnya banyak dan manisnya pas. Cocok buat cuaca panas.,id,positive
Waited 45 mins for cold fries and a dry burger. Manager didn't even apologize. Terrible.,en,negative
"Ayam bakarnya kering banget, sambelnya juga kurang pedes. Kecewa sih.",id,negative
Solid Chinese food. The dumplings were tasty and fried rice was good. Nothing fancy but satisfying.,en,neutral
"Rawonnya enak, daging sampunya empuk. Tapi tempatnya kurang nyaman, panas banget.",id,positive
Amazing Greek food! The gyros was flavorful and tzatziki was perfect. Great value for money.,en,positive
Pepes ikannya enak banget! Bumbunya meresap dan ikannya fresh. Tempatnya juga bersih.,id,positive
The sushi rolls fell apart and the fish didn't taste fresh. Not good at all.,en,negative
Tempe mendoannya garing dan enak. Teh hangatnya juga pas. Harga murah porsi banyak.,id,positive
Nice French bistro. The coq au vin was delicious but dessert was just okay.,en,neutral
"Sop kambing disini kurang enak, daging kambingnya alot. Kuahnya juga kurang bumbu.",id,negative
Outstanding Ethiopian food! The injera was perfect and the doro wat was incredible. A hidden gem!,en,positive
Nasi liwetnya pulen dan lauk pauknya banyak pilihan. Ayam gorengnya juga enak banget!,id,positive
The service was extremely slow and the food came out wrong. Had to send it back twice.,en,negative
Lumayan lah buat nongkrong. Kopinya enak tapi cakenya terlalu manis.,id,neutral
Great BBQ ribs! Meat falls off the bone and the sauce is tangy and sweet. Sides are good too.,en,positive
"Tahu telor disini enak, bumbunya pas. Tapi lotek nya kurang seger.",id,positive
Overrated and overpriced. The hype is not worth it. Food was mediocre.,en,negative
"Ketopraknya standar aja, ga ada yg spesial. Harga juga lumayan mahal.",id,neutral
Excellent Turkish kebab! Meat was juicy and the bread was fresh baked. Very filling.,en,positive
"Martabak manisnya enak, topping-nya banyak. Tapi agak kemanisan sih buat selera gue.",id,positive
Hair in my food and staff was dismissive about it. Disgusting and unprofessional.,en,negative
Makanannya dingin pas dateng. Komplain tapi pelayan cuek aja. Kecewa.,id,negative
Decent tapas. Good for sharing and trying different things. Sangria was excellent.,en,neutral
Nasi campur balinya enak! Lawar dan sate lilit nya authentic. Tempatnya juga nyaman.,id,positive
"Perfect date night spot! Romantic lighting, excellent wine selection, and steak cooked to perfection.",en,positive
"Bubur ayamnya enak, cakwenya garing. Kuahnya gurih dan ga terlalu kental. Mantap!",id,positive
Food poisoning after eating here. Still recovering. Stay away!,en,negative
Kupat tahunya kurang bumbu kacang. Tahunya juga kurang goreng. Biasa aja.,id,neutral
"Wonderful Lebanese food! The hummus was smooth, falafel crispy, and shawarma amazing.",en,positive
Iga bakarnya empuk dan bumbunya meresap. Sambal matahnya juga segar. Recommended banget!,id,positive
Manager yelled at staff in front of customers. Very uncomfortable. Food was cold too.,en,negative
