text,language,sentiment
"The pizza here is absolutely fantastic, crispy crust and fresh toppings. Service was quick too!",en,positive
Loved the ambiance and the steak was cooked perfectly. Will come back soon.,en,positive
"Great sushi rolls, fresh fish and nice presentation. Friendly staff.",en,positive
"The burgers are juicy and flavorful, best in town. Fries were hot and crispy.",en,positive
Delicious Mexican tacos with authentic flavors. Margaritas were spot on.,en,positive
"Wonderful Indian curry, spicy just right. Naan bread was soft and warm.",en,positive
Seafood platter was fresh and generous portions. Lovely ocean view.,en,positive
The pasta carbonara was creamy and rich. Dessert tiramisu was heavenly.,en,positive
"Amazing Thai pad see ew, perfect balance of sweet and savory.",en,positive
Cozy cafe with excellent coffee and pastries. Relaxing atmosphere.,en,positive
Vegan options were diverse and tasty. The salad was fresh.,en,positive
"BBQ ribs fell off the bone, smoky and tender. Sides were great too.",en,positive
"French onion soup was flavorful, croissants flaky. Elegant setting.",en,positive
Dim sum was steaming hot and delicious. Variety was impressive.,en,positive
Greek gyros with tzatziki sauce hit the spot. Fresh ingredients.,en,positive
The ramen broth was rich and noodles al dente. Toppings generous.,en,positive
Breakfast burrito was huge and filling. Coffee was strong.,en,positive
"Falafel wrap was crispy outside, soft inside. Hummus smooth.",en,positive
Pho soup was aromatic and comforting. Beef tender.,en,positive
Gelato flavors were unique and creamy. Perfect for a hot day.,en,positive
The paella had lots of seafood and saffron rice was perfect.,en,positive
Korean bibimbap with gochujang sauce was spicy and yummy.,en,positive
Bagels were chewy and toppings fresh. Great morning spot.,en,positive
Lobster roll was buttery and fresh. Chips on the side crisp.,en,positive
"Pancakes fluffy, syrup sweet. Bacon crispy.",en,positive
Empanadas were flaky and filling flavorful. Salsa zesty.,en,positive
Cheese fondue was gooey and fun to dip. Wine selection good.,en,positive
Jerk chicken spicy and juicy. Rice and peas perfect side.,en,positive
Crepes thin and filled generously. Sweet and savory options.,en,positive
The wok-fried noodles were wok hei flavorful. Veggies crisp.,en,positive
Food was bland and overpriced. Waited too long for the bill.,en,negative
"Burger was dry, fries soggy. Service rude.",en,negative
