text,language,sentiment
"Atmosfer nya bener bener seperti dijamu oleh keluarga keraton, dan cita rasa makanan nya unik dan langka dan saya paling suka dengan garang asem nya, semoga tetap ada sampai anak cucu saya juga bisa merasakan 😊",id,positive
"Authentic Javanese food, good service and nice ambience. I had a nice family dinner here with Javanese instrument live music. Personal fav menu : Gecok Ganem and Oseng Utren Sandung.",en,positive
Bale Raos - The Sultan's Dishes Restaurant yang didekat kraton jogja. Restoran keluarga yang nuansa jogja banget dengan harga terjangkau. Aneka makanan dan minuman khas jogjakarta. Bagi wisatawan bisa menikmati alunan gamelan dan lahan parkir luas sekali.,id,positive
Beautiful place with a unique menu. Shame it was completely empty (probably due to Ramadan) and no music,en,positive
Bener2 ontetik makanan kesukaan raja Yogja..lazissssss......👍👍👍👍👍,id,positive
Comfort food. Great ambience and super good service. Hampir semua makanan enak dan pelayan sangat ramah.,id,positive
"Definitely will be back here! The food was good, friendly staff, and what i like the most was the atmosphere that gave you such a new experience~~Here's menu i ordered. You should try the bestik lidah👌🏻👌🏻",en,positive
Food biasa banget Service luama Atmosfere crowded,id,negative
"Hbs ngelilingin taman sari n keraton nyoba minum mkn disini berasa jd anggota kerajaan lokasi di area keraton,harganya ya hrg resto pd umumnya,es campur gt 30rb,bir jawa rasa jahe sereh kayumanis dll sekitaran 20rban,makanan fav sultan mangut lele gitu 50rban,nasi 10rb,ada pajak,ada biaya layanan mas2nya 6rban,yah sekali2 dicoba",id,positive
Hidangan khas keraton jogja dgn nuansa khas dgn alunan gamelan dan semilirnya angin di siang hari menemani makan sianb kami yg sgt enak,id,positive
Iftar bersama keluarga di tempat Resto Bale Rais serasa suasana di Kraton Kesultanan Jogjakarta dan pelayanannya sat set ciri khas snak muda,id,positive
Istimewa! Makanannya ga ada yg ga enak!,id,positive
"Kapiratunya enak, asin gurih; Gecok Ganem favorites bola bola daging empuk, seger dengan kuah santan, dn potongan tomat dan cabe, rasa gurih manis seger ; Oseng2 daging sapinya jg enak manis gurih.The best Sultan's dishes",id,positive
"Ke jogja salah satu reverensi makan ala bangsawan di sini. ""Ada harga ada kualitas"" Rasanya gak usah di ragukan lagi ❤️ Pelayanannya top 👍👍",id,positive
"Ke sini untuk makan bersama keluarga besar. Fine dining masakan Kraton Jogja, menu enak dan pelayanan baik, tempat luas. Space parkirnya yang kurang mengingat banyaknya tamu apalagi di musim liburan",id,positive
Makan dengan menu selera Sultan Yogyakarta. Rasa baru. Perpaduan jawa dan barat. Pilihan banyak. Tempat luas. Pelayan ramah dan gercep.,id,positive
"Makan siang bareng teman.. Masakannya enak2.. Pelayanannya juga baik banget, ramah2 & cepat.. Suasananya ningrat banget, berasa banget aura bangsawannya.. 🥰👍",id,positive
"Makanan dan lokasi layaknya Sultan. Hidangan enak konon kesukaan Raja2 dahulu. Lokasi nyaman. Malam ada live musik klasik. Dan Anak Pun senang, gak mau pulang",id,positive
"Makanan dan minumannya enak, menu tradisi kraton Yogyakarta",id,positive
"makanan enak sekali, harga sesuai dengan hidangan yang disajikan",id,positive
Makanan nya enak enak dan serasa makan ala sultan Jogja,id,positive
Makanan sajian keraton yang sangat cocok di lidah dan suasana kerajaan yang kental.,id,positive
"Makanan tradisional Jawa, rupanya hidangan yang dulu disantap para sultan. Para pelayannya sangat ramah dan penuh perhatian. Rasa hidangan penutupnya sangat berbeda dari yang saya harapkan 👍🏻. Harganya pas.",id,positive
"Makanannya benar-benar otentik jawa. Rasanya enak dan porsinya banyak, sultann bangett. Terimakasih Baleraos, sukses selali",id,positive
Makanannya enak dan harga bersahabat,id,positive
"Makanannya enak, pelayanannya bagus.",id,positive
"Mantap semua. Enak semua. Suka sekali atmosfir dan experience nya. Yg ke jogja wajib cobain. Makananya unik dan enak. Plg suka manok nom dan prawan kenes, bir jawa (bukan alkohol), teh gajah ndekem.",id,positive
Many unique dish. There are also many spot to take photos.,en,positive
"Mbak pelayan yang pakai kacamata kurang sopan, piring dessert yang masih mau di makan asal di ambil. Tapi langsung buru-buru ambil, tanpa izin dulu asal nyaut. Posisi kita normal-normal aja, ngobrol ngobrol biasa. Tiba-tiba piring pudingku di ambil tanpa basa basi. Kesan sangat kurang ajar, karena minimal permisi, apakah tidak pernah di training sekelas kraton?",id,negative
Memanjakan lidah dan perut dengan makanan khas kesukaan Raja Yogyakarta. Dengan suasana khas keraton. Recommended.,id,positive
"Memasuki Bale Raos serasa kembali ke rumah Eyang. Hangat, otentik, kuno, timeless. Makanannya enak-enak. Parkir luas, pelayanan memuaskan... Spot foto jangan ditanya heheh",id,positive
"Menikmati menu buka puasa Suasananya kurang diimbangi dengan yg khas Ramadhan, misal makanan qurma, lagu nuansa islam Sebaiknya suasana bulan Ramadhan benar-benar dapat dirasakan oleh pengunjung",id,positive
"Menu Alacarte/memilih, ada juga menu Buffet, aku lebih suka menu pilih. Menu Tradisional berupa set nasi merah aku request ganti nasi putih, oseng daging lombok ijo dan merah, oseng daun pepaya, tempe tahu goreng bacem, Cok genem ini sayur lodeh tambah daging giling dibulat bulat dan tomat hijau, krupuk legendar, pisang kepok kuning bakar disiram santan kental matang. Konon ini menu kesukaan Sultan ke VIII. Rasa selera Jogja. Tempat lingkungan kraton bagus, service baik.",id,positive
