text,language,sentiment
Absolutely loved the carbonara here! Creamy sauce and perfectly al dente pasta. Service was a bit slow but worth the wait.,en,positive
Pad thai was decent but nothing special. Portions were generous though.,en,neutral
Worst sushi ever. Fish tasted fishy and rice was dry. Overpriced for what you get.,en,negative
Makanannya enak banget! Sate kambingnya empuk dan bumbunya meresap. Bakso juga gurih.,id,positive
Tempatnya sih bagus tapi makanannya biasa aja. Harga mahal untuk rasa yang gitu-gitu doang.,id,neutral
"Nasi gorengnya hambar banget, kecapnya kebanyakan. Padahal tempatnya baru direnovasi.",id,negative
Hidden gem! Best tacos in the city. Homemade tortillas and fresh salsa. Will definitely come back.,en,positive
Service was terrible. Waited 45 minutes for a simple burger. Staff seemed overwhelmed.,en,negative
Okay experience. Food was fine but atmosphere was too loud for conversation.,en,neutral
Soto ayamnya juara! Kuahnya gurih dan ayamnya banyak. Sambalnya juga pedas pas.,id,positive
"Es tehnya manis banget, minta kurang manis tetep aja manis. Makanannya lumayan.",id,neutral
"Gado-gadonya pahit, kacangnya kayak basi. Mana mahal pula. Gak recommended.",id,negative
Amazing brunch spot! Avocado toast was perfectly seasoned and coffee was strong.,en,positive
Pizza was burnt on the edges but center was undercooked. Inconsistent quality.,en,negative
Standard Chinese takeout. Nothing to complain about but nothing memorable either.,en,neutral
"Rawonnya enak, dagingnya empuk. Tapi porsinya kecil untuk harganya.",id,positive
"Mie ayamnya biasa aja, toppingnya dikit. Bumbunya kurang meresap.",id,neutral
"Nasi uduknya apek, kering juga. Sambalnya terlalu pedas sampe gak ada rasa lain.",id,negative
"Best fried chicken ever! Crispy outside, juicy inside. Mashed potatoes were creamy too.",en,positive
Overpriced for mediocre food. $30 for a basic pasta dish is ridiculous.,en,negative
Decent Indian food. Curry was flavorful but naan was a bit tough.,en,neutral
"Bakso malangnya enak banget! Pangsitnya gurih, tahunya juga lembut. Kuahnya hangat pas.",id,positive
"Pecelnya seger, tapi lauknya dikit banget. Cuma dikasih rempeyek doang.",id,neutral
"Sate padangnya amis, dagingnya alot. Sambalnya juga terlalu asin. Gak jadi beli lagi.",id,negative
Excellent service and food! Server was knowledgeable about wine pairings.,en,positive
Burger was dry and overcooked. Fries were cold when served. Disappointing.,en,negative
"Average food, average service. Gets the job done when you're hungry.",en,neutral
"Nasi campur balinya enak! Sate lilitnya lembut, sambal matahnya juga pas.",id,positive
"Makanannya lumayan tapi tempatnya panas banget, ACnya kayak gak nyala.",id,neutral
"Sop buntutnya bau prengus, dagingnya juga alot. Bayar mahal dapat kualitas jelek.",id,negative
Love this place! Best pho in town. Broth is rich and herbs are fresh.,en,positive
Terrible experience. Hair in my food and manager didn't even apologize.,en,negative
Food truck was okay. Tacos were small but tasty. Prices reasonable.,en,neutral
"Martabak manisnya tebal dan lembut, toppingnya banyak. Cuma agak lama dimasaknya.",id,positive
"Nasi gorengnya hambar, kecapnya dikit. Tapi porsinya besar sih.",id,neutral
"Tempe mendoannya alot, tepungnya tebal. Minyaknya juga kayak bekas pakai berkali-kali.",id,negative
Perfect date night spot! Dim lighting and amazing steaks. Worth every penny.,en,positive
Soup was lukewarm and salad was wilted. Seems like they've given up.,en,negative
Not bad for a chain restaurant. Consistent quality across locations.,en,neutral
"Ayam gepreknya enak banget! Sambalnya pedas mantap, ayamnya garing diluar lembut didalem.",id,positive
"Bakmoynya biasa aja, kuahnya encer. Tapi tahu dan tetelnya lumayan.",id,neutral
"Cilornya hambar, bumbu kacangnya cair. Ekkado juga keras, kayak microwaved.",id,negative
Best seafood boil! Crawfish were seasoned perfectly and corn was sweet.,en,positive
Cold pancakes and rubbery bacon. Breakfast shouldn't be this hard to get right.,en,negative
"Middle of the road BBQ. Some items good, others just okay.",en,neutral
"Soto lamongannya gurih tenan! Koya kentelnya pas, suwiran ayamnya juga byk.",id,positive
"Nasi kucingnya kecil banget, lauknya cuma seujung sendok. Mahal lagi.",id,neutral
"Tahu gejrotnya basi, bau amis. Gigit dikit langsung muntah deh.",id,negative
Incredible ramen! Broth was rich and pork was melt-in-your-mouth tender.,en,positive
Waited an hour for cold pizza. Staff was rude when we complained. Never again.,en,negative
Standard fare. Nothing exciting but fills you up. Prices are fair.,en,neutral
"Lontong sayurnya seger, kuah santaninya gurih. Krupuknya juga renyah.",id,positive
"Mie tek-teknya hambar, bumbunya cuma kecap sama micin. Gak ada rasa lain.",id,neutral
"Nasi liwetnya apek, nasinya kayak nasi sisa semalem. Sambalnya juga pahit.",id,negative
Fantastic tapas! Each dish was better than the last. Great wine selection too.,en,positive
Greasy food and dirty tables. Health department should visit this place.,en,negative
It's fine for what it is. Quick lunch spot with decent prices.,en,neutral
"Cendolnya enak, santannya kental. Gula merahnya juga pas gak terlalu manis.",id,positive
"Soto kudusnya terlalu asin, ayamnya juga dikit. Tapi kerupuknya renyah.",id,neutral
Gudegnya manis banget sampai muak. Kreceknya juga keras kayak karet.,id,negative
Amazing vegetarian options! Even meat lovers would enjoy this place.,en,positive
Burnt coffee and stale pastries. How do you mess up breakfast this bad?,en,negative
"Not terrible, not great. Just your average neighborhood restaurant.",en,neutral
"Tahu campurnya gurih, bumbu kacangnya pas. Tapi pedesnya nendang!",id,positive
"Nasi ramesnya isinya dikit, lauknya cuma tahu dan tempe. Mahal pula.",id,neutral
"Sate taunnya bau, dagingnya kayak daging kambing tua. Keras banget.",id,negative
Perfect gyro! Meat was juicy and tzatziki was creamy. Fast service too.,en,positive
Cold fries and soggy burger bun. Manager didn't care when we told them.,en,negative
Mediocre Korean food. Bibimbap was missing ingredients listed on menu.,en,neutral
"Pecel lelenya enak, sayurnya segar. Tapi sambelnya kurang pedes buat aku.",id,positive
"Seblaknya cemen, kerupuknya masih keras. Bumbunya juga cuma micin.",id,neutral
"Batagornya bau amis, tahunya juga keras. Kuahnya encer kayak air aja.",id,negative
Incredible farm-to-table experience! Every ingredient tasted fresh and vibrant.,en,positive
Overcooked pasta and watery sauce. They should be embarrassed serving this.,en,negative
It's alright. Food comes out fast which is good for lunch breaks.,en,neutral
"Nasi timbelnya enak, lalapannya segar. Sambal terasinya juga pas.",id,positive
Makanannya lumayan tapi lama banget datangnya. Lapar2 jadi ilfil.,id,neutral
"Sop iga nya bau prengus, iganya juga alot. Sayurnya layu semua.",id,negative
Best kept secret in town! Amazing Peruvian food at great prices.,en,positive
Rude staff and overpriced drinks. There are better options nearby.,en,negative
"Standard buffet. Some items good, some not so fresh. You know how it is.",en,neutral
"Ketopraknya enak, lontongnya lembut. Tapi bumbu kacangnya kurang kental.",id,positive
"Nasi uduknya biasa aja, lauknya cuma irisan telor. Harganya mahal.",id,neutral
"Otak-otaknya amis, ikannya kayak busuk. Sambalnya juga terlalu asin.",id,negative
Outstanding sushi! Fish was incredibly fresh and chef was very skilled.,en,positive
Cold soup and warm salad. How does that even happen? Total disaster.,en,negative
Nothing special but gets the job done. Prices are reasonable at least.,en,neutral
"Sate maduranya enak, dagingnya empuk. Tapi kuah sate padangnya kurang gurih.",id,positive
"Bubur ayamnya cair banget, ayamnya juga dikit. Krupuknya udah lemas.",id,neutral
"Rujak cingurnya pahit, cingurnya keras. Bumbunya juga terlalu manis.",id,negative
Perfect comfort food! Mac and cheese was creamy and chicken was tender.,en,positive
Stale bread and watery soup. They've really gone downhill lately.,en,negative
It's decent. Nothing to write home about but satisfies the craving.,en,neutral
"Nasi balinya enak, sate lilitnya lembut. Sambal matahnya bikin nagih.",id,positive
"Makanannya standar, porsinya kecil. Tempatnya sih nyaman.",id,neutral
"Sop senereknya hambar, kuahnya cuma air garam. Sayurnya juga layu.",id,negative
Incredible BBQ! Brisket was smoked to perfection and sides were homemade.,en,positive
Overpriced and underwhelming. Tiny portions for the price they charge.,en,negative
"Average food, average service. Exactly what you'd expect from a chain.",en,neutral
"Tahu sumedangnya renyah, isinya padat. Cuma agak berminyak sih.",id,positive
Great pizza! Thin crust was crispy and toppings were generous. Delivery was fast too.,en,positive
Bland food and slow service. Took forever to get water refills.,en,negative
It's okay. Nothing special but prices are fair for what you get.,en,neutral
"Bakso uratnya besar2, dagingnya padat. Kuahnya juga gurih pas.",id,positive
Nasi gorengnya cukup enak tapi pedesnya kurang. Telornya setengah mateng.,id,neutral
"Soto tangkar bau amis, koya kentelnya cemen. Mahal lagi!",id,negative
Amazing tacos al pastor! Pineapple was caramelized perfectly. Authentic taste.,en,positive
Worst service ever. Waitress ignored us and food came out wrong twice.,en,negative
Standard Chinese food. Exactly what you'd expect from takeout.,en,neutral
