text,language,sentiment
"Crispy crust, light sauce, and a basil pop—this margherita took me right back to Naples. Service was warm without hovering. Would happily come again.",en,positive
"Pretty solid ramen with a silky tonkotsu broth. Noodles had good chew. Egg was slightly overcooked, but overall satisfying.",en,positive
"Fish tacos slapped! Fresh lime, crunchy cabbage, and tortillas that didn’t fall apart. Music a bit loud tho.",en,positive
Had the tasting menu—every plate told a story. The lamb was melt-in-mouth and the panna cotta wobbled like a dream.,en,positive
Friendly folks and a proper cuppa. The veggie pie was hearty and flaky. Cozy spot for a rainy afternoon.,en,positive
Excellent Szechuan pepper kick—tingly in the best way. Mapo tofu was silky and addictive. Will order extra rice next time.,en,positive
"We shared a mezze platter and it was abundant: hummus, smoky baba ghanoush, and warm pita that kept coming. Great value.",en,positive
Killer smash burger with charred edges and a juicy center. Fries stayed crisp to the last bite.,en,positive
Tiramisu was cloud-light and the espresso had real depth. Staff remembered our names—nice touch.,en,positive
"Perfectly grilled octopus—tender, not rubbery—and a lemony potato salad I’m still thinking about.",en,positive
"Butter chicken was rich without being heavy, and the garlic naan was blistered just right. Portions generous.",en,positive
"Bright, colorful poke bowl with super fresh tuna. Loved the pickled ginger and crunchy onions.",en,positive
The barista dialed in my flat white to perfection. Almond croissant was messy in all the right ways.,en,positive
"We did the chef’s special yakitori—juicy, smoky, and seasoned simply. Great sake list too.",en,positive
"Pho broth tasted like it simmered for days—clean and aromatic. Herbs were fresh, lime was juicy. Comfort in a bowl.",en,positive
Loved the gluten-free crust option; didn’t feel like a compromise. Staff handled my allergy with care.,en,positive
"Crisp schnitzel, lemon wedge, potato salad with just enough tang. Felt like a hug from grandma (if she were Austrian).",en,positive
"The shawarma was juicy and the tahini had depth. Quick, friendly, cheap—what more do you want?",en,positive
Carnitas were deeply porky with caramelized edges. Salsa verde bright and punchy. Will be back soon.,en,positive
"Steak came medium-rare as ordered, with a peppercorn sauce I could drink. Sides are shareable—good for groups.",en,positive
"Flaky croissants, jammy center kouign-amann, and butter that tastes like butter. Paris vibes achieved.",en,positive
"The cold brew is rocket fuel (in a good way). Chill playlist, plenty of plugs—remote work heaven.",en,positive
Green curry was fragrant with Thai basil and Kaffir lime; heat level 3 was perfect. Jasmine rice fluffy.,en,positive
Surprisingly good vegan donburi—marinated tofu and umami mushrooms. Didn’t miss meat at all.,en,positive
Ethiopian platter for two was a feast—injera spongy and the lentils deeply spiced. Loved eating with hands.,en,positive
"Dim sum carts rolling by = instant joy. Har gow delicate, siu mai meaty. Crowded but worth it.",en,positive
"Brunch winner: lemon ricotta pancakes, airy and bright. Service friendly even when slammed.",en,positive
The burrata special… oof. Creamy center with roasted tomatoes and balsamic that actually balances.,en,positive
Great neighborhood spot—solid tap list and a burger that drips just enough. Vibes on point.,en,positive
Ceviche tasted like the ocean—zesty and clean. Plantain chips stayed crisp. Will bring friends.,en,positive
"Solid sushi lunch set. Fish was fresh, rice temp just right. Not mind-blowing, but very dependable.",en,neutral
"Service was a bit slow, but the paella had good socarrat. Mixed feelings overall.",en,neutral
"Bagel was okay, schmear a tad bland. Coffee fine. Would try again if I’m nearby.",en,neutral
Nice patio and okay tacos; nothing special but not bad either. Good for a casual meetup.,en,neutral
"Pad thai portion generous, flavors slightly muted. Friendly staff balanced it out.",en,neutral
BBQ ribs tender but sauce too sweet for me. Others might like it. Mixed verdict.,en,neutral
"Pho broth decent, herbs fresh, but noodles a bit clumpy. Average overall.",en,neutral
"Good value lunch combo; chicken tikka fine, naan a bit chewy. Nothing to complain about, nothing to rave about.",en,neutral
"Fun cocktails, small plates okay. Music too loud to chat. Mixed bag.",en,neutral
Salmon was cooked well but needed more seasoning. Dessert saved the day. Overall okay.,en,neutral
"Waited 40 minutes with a reservation. Pasta came lukewarm. They comped dessert, but still disappointed.",en,negative
"Sushi rice was mushy and fish didn’t taste super fresh. Not horrible, just not worth the price.",en,negative
Burger bun fell apart and the patty was dry. Fries soggy. Meh.,en,negative
Over-salted ramen broth that masked everything else. Left thirsty. Won’t return.,en,negative
We got the wrong order twice and the server seemed annoyed. Food was average at best.,en,negative
Cold pizza on arrival and the cheese had that rubbery tug. Delivery apologized but still… nope.,en,negative
"Fish and chips oily, batter undercooked in spots. Greasy aftertaste.",en,negative
$19 for a sad Caesar with browning edges? Hard pass. Portion tiny.,en,negative
Steak came well-done instead of medium and the replacement took ages. Lost appetite by then.,en,negative
Dim sum tasted reheated; skins tough. Maybe an off day but I wasn’t impressed.,en,negative
"Sate kambingnya empuk bgt, bumbunya meresap. Sambal kecap + irisan tomat bikin makin nagih. Mantap!",id,positive
"Nasi Padangnya komplit—rendang legit, sayur nangka gurih, sambal ijo nendang. Porsinya bikin kenyang puas.",id,positive
"Bakso urat di sini mantul, kuahnya bening tapi berasa kaldu. Pangsitnya kriuk. Harga ramah kantong.",id,positive
"Ayam geprek level 3 pas di lidah, kremesnya garing. Lalap segar, nasi hangat—simple tp juara.",id,positive
"Soto betawi creamy, daging empuk, jeruk limau fresh. Makan siang jadi hepi.",id,positive
"Pempek kapal selamnya tebal dan lembut, cukonya balance antara asam-manis-pedas. Auto repeat order.",id,positive
"Mie ayamnya wangi minyak ayam, topping melimpah. Pangsit rebusnya lembut. Pelayanan cepat.",id,positive
"Ikan bakar bumbu rica pedas cabe rawit, dagingnya juicy. Sambal dabu-dabu segar banget!",id,positive
"Nasi uduk gurihnya pas, ayam gorengnya renyah di luar lembut di dalam. Sambal terasinya nampol.",id,positive
"Gudegnya manis legit, kreceknya pedes dikit, kombo perfect. Porsi pas, harga oke.",id,positive
"Sate padang kuah kental bumbu rempahnya kaya. Lontong empuk. Tempatnya bersih, pelayanan ramah.",id,positive
"Rawon dagingnya besar-besar, kuah kluweknya pekat wangi. Sambal + tauge bikin segar.",id,positive
"Es teler full buah, susunya ga kemanisan. Pas buat penutup makan siang.",id,positive
"Bebek gorengnya garing di luar, daging masih juicy. Sambal korek bikin keringetan, nikmat!",id,positive
"Lontong sayur pagi-pagi hangat, kuah santan ringan, kerupuknya kriuk. Bikin semangat kerja.",id,positive
"Sop iga seger, daging lepas dari tulang. Jeruk nipis sedikit makin mantap. Worth it.",id,positive
"Pecel lele tengah malam, sambal terasi pedesnya nampol. Lele fresh, nasi anget. Top buat begadang.",id,positive
"Ayam bakar madu, rasa manis-smokeynya pas. Lalapan lengkap. Porsi gak pelit.",id,positive
"Siomay bumbu kacang kental, kentang & kolnya matang pas. Layanan cepat, dompet aman.",id,positive
"Nasi goreng kambing pakai bumbu kebuli, aromanya menggoda. Daging empuk, porsinya gede.",id,positive
"Tempatnya oke, tapi ayam penyetnya biasa aja. Sambal kurang nendang. Masih ok buat makan cepat.",id,neutral
"Rasa sotonya standar, daging sedikit tapi kuah hangat enak diminum. Harga sesuai.",id,neutral
"Warungnya strategis, mie gorengnya lumayan walau agak berminyak. Not bad lah.",id,neutral
"Bakmi Jawa rebusnya oke, bumbunya halus. Nggak wow, tapi mengenyangkan.",id,neutral
"Es campur segar, tapi terlalu banyak es serut jadi cepat encer. Cukup sih.",id,neutral
"Rendang lumayan empuk tapi kurang rempah menurutku. Pelayanan cepat, tempat bersih.",id,neutral
"Sate taichan standard, sambal jeruk nipisnya enak tapi daging agak kering. Ya lumayan.",id,neutral
"Tahu gejrot rasa oke, porsi kecil. Buat camilan aja, jangan harap kenyang.",id,neutral
"Nasi ulamnya biasa, kerupuk alot sedikit. Minumannya dingin, oke buat singgah.",id,neutral
"Kupat tahu cukup enak, bumbu kacangnya ringan. Porsi pas sarapan.",id,neutral
"Dateng lapar, pulang kecewa. Sop buntutnya alot, bumbunya flat. Harganya ga masuk akal.",id,negative
"Nasi gorengnya asin parah, kayak tumpah garam. Telur mata sapi overcooked. Duh.",id,negative
"Menunggu hampir 45 menit padahal ga ramai. Pas dateng, sate dingin. Kapok dulu.",id,negative
"Ayam geprek super berminyak, kremesnya pahit. Perut jadi nggak enak.",id,negative
"Bakso rasanya hambar, kuah seperti air garam. Sambal pun tak menolong.",id,negative
"Ikan bakar gosong di luar, dalamnya masih amis. Mohon diperbaiki deh.",id,negative
"Pecel lele sausnya terlalu manis, lele kecil banget. Nggak sesuai foto.",id,negative
"Gudegnya terlalu manis, krecek keras. Harga tidak sebanding rasa.",id,negative
"Soto banjir minyak, bikin eneg. Sendoknya juga kurang bersih. Kurang nyaman.",id,negative
"Es teler isinya kebanyakan es, buahnya dikit dan layu. Kecewa.",id,negative
"Service was sweet but slow, yet the falafel wrap was crunchy outside and fluffy inside. Mixed feelings but I’d return.",en,neutral
Neapolitan-style pie with leopard spots on the crust—chef’s kiss. House chili oil is a must!,en,positive
"Korean fried chicken double-fried to shattery crisp. Honey garlic glaze had balance, not cloying.",en,positive
Clam chowder tasted canned and was lukewarm. Bread bowl soggy. Disappointed.,en,negative
"Nice view over the park; coffee okay, pastry stale. You win some, you lose some.",en,neutral
Taco al pastor juicy with proper pineapple char. Three-bite perfection.,en,positive
Overpriced salad with wilted greens. Dressing bland. Wouldn’t recommend.,en,negative
"Pasta cacio e pepe glossy and pepper-forward—simple, perfect. House red paired nicely.",en,positive
Roti canai crispy edges with a soft center—curry dip aromatic. Hit the spot for late dinner.,en,positive
"Wartegnya bersih, sayur tumisnya enak tapi tempe orek terlalu manis dikit. Tetep lumayan kok.",id,neutral
