text,language,sentiment
"The lasagna here is absolutely divine. Rich, meaty, and the béchamel is perfectly creamy. Service was a bit slow, but the food made up for it. Great spot for a date night.",en,positive
Waited 45 minutes for a table even though we had a reservation. The pad thai was bland and cold. Completely overpriced for what it is. Never coming back.,en,negative
"It's okay. Nothing special, just standard diner fare. Coffee was hot, and the eggs were cooked properly. Good for a quick, cheap breakfast.",en,neutral
"Sate ayamnya juara banget! Bumbu kacangnya medok, dagingnya empuk. Cuma tempatnya agak panas dan harus antri lama. Tapi worth it!",id,positive
"Kami pesan nasi goreng seafood, tapi yang datang cuma udang kecil-kecil. Rasanya standar aja, harganya mahal buat porsi segitu. Agak kecewa.",id,negative
"Pelayanan ramah, suasana nyaman. Makanannya lumayan, nggak terlalu spesial tapi oke buat makan siang cepat. Es tehnya seger.",id,neutral
"Best sushi in the city, hands down. The salmon sashimi melts in your mouth. High quality and fresh every time. A bit pricey, but worth the splurge.",en,positive
"Worst burger I've ever had. Dry patty, stale bun, and the fries were soggy. The waiter seemed annoyed we were even there. Awful experience.",en,negative
"I ordered the special. It was fine. Nothing to write home about, but edible. The lighting is a little too dim, though.",en,neutral
"Tempatnya bersih, dekorasinya bagus. Kami coba mie ayamnya, enak tapi porsinya sedikit banget. Kayaknya lebih cocok buat nongkrong.",id,positive
"Pesan gado-gado, bumbunya encer banget, kayak kebanyakan air. Sayurannya juga kurang segar. Sayang sekali padahal lokasinya strategis.",id,negative
"Layanan cepat. Ayam gepreknya pedesnya nampol, cuma ayamnya agak kering. Secara keseluruhan cukup memuaskan.",id,neutral
"The fish tacos are phenomenal! The balance of citrus and spice is perfect. Our server, Sarah, was attentive and very friendly. Five stars!",en,positive
The steak was undercooked when I asked for medium-well. Sent it back and it came back burnt on the edges. Completely ruined the meal.,en,negative
"Decent pizza. A little too much crust, not enough topping. The atmosphere is loud. Good for a casual group dinner.",en,neutral
"Aduh, nasi padangnya mantap! Rendangnya empuk, bumbu meresap. Sambal ijonya bikin nagih. Betul-betul lamak bana!",id,positive
"Datang pas jam makan siang, rame banget. Sudah nunggu 30 menit, pesanan belum keluar. Akhirnya batal. Manajemennya buruk.",id,negative
"Tempatnya lumayan nyaman buat ngobrol. Porsi makanannya standar, harganya agak di atas rata-rata. Cobain dessert-nya, not bad.",id,neutral
"I keep coming back for their sticky toffee pudding. Best dessert I've ever had! The mains are excellent too, especially the roast duck.",en,positive
The cleanliness of this place is questionable. Saw a roach near our table. The food tasted old. Health department should check this place out.,en,negative
"Service was prompt. Food arrived hot. Taste-wise, it was fine. The soup was a bit too salty for my liking. Average experience overall.",en,neutral
"Bakso uratnya kenyal, kuahnya gurih sedap! Porsinya banyak, bikin kenyang. Harganya juga bersahabat. Rekomen deh!",id,positive
"Kami dapat meja yang kotor, sisa makanan pelanggan sebelumnya masih ada. Minta dibersihkan lama sekali. Makanan datang, rasanya biasa aja. Males balik lagi.",id,negative
"Cobain kopi susunya. Rasa kopinya kurang kuat, dominan manis. Snack-nya lumayan. Tempatnya adem, cocok buat kerja.",id,neutral
The staff went above and beyond for our group. They accommodated all our dietary restrictions with a smile. The grilled salmon was perfectly cooked. Fantastic experience!,en,positive
